Word,Sender,Hour,Minute,Day,Month,Year,Message,Location,AbsoluteLocation
quite,Ganrer,15,49,25,07,2014,47,3,233
rainy,Ganrer,15,49,25,07,2014,47,4,234
want,Ganrer,15,49,25,07,2014,48,3,237
read,Ganrer,15,49,25,07,2014,48,7,241
blame,JoeSwanson,16,58,25,07,2014,49,3,244
reaching,JoeSwanson,16,58,25,07,2014,50,2,247
interesting,JoeSwanson,16,58,25,07,2014,50,3,248
heights,JoeSwanson,16,58,25,07,2014,50,4,249
know,Ganrer,16,58,25,07,2014,51,2,251
how's,Ganrer,16,58,25,07,2014,52,1,252
derby,Ganrer,16,58,25,07,2014,52,2,253
old,JoeSwanson,17,00,25,07,2014,53,2,255
old,JoeSwanson,17,00,25,07,2014,53,4,257
forget,JoeSwanson,17,00,25,07,2014,54,2,259
clan,JoeSwanson,17,00,25,07,2014,54,4,261
battle,JoeSwanson,17,00,25,07,2014,54,5,262
kicked,JoeSwanson,17,00,25,07,2014,55,5,267
done,Ganrer,18,19,25,07,2014,56,1,268
one,Ganrer,18,19,25,07,2014,56,2,269
appears,Ganrer,21,21,28,07,2014,57,2,271
much,Ganrer,21,21,28,07,2014,57,5,274
must,Ganrer,21,21,28,07,2014,57,9,278
discuss,Ganrer,21,21,28,07,2014,57,10,279
much,Ganrer,21,23,28,07,2014,58,1,280
young,Ganrer,21,23,28,07,2014,59,1,281
griff,Ganrer,21,23,28,07,2014,59,2,282
call,Ganrer,21,23,28,07,2014,60,4,286
prince,Ganrer,21,23,28,07,2014,60,6,288
ahhhhhhhh,JoeSwanson,21,23,28,07,2014,61,1,289
made,Ganrer,21,23,28,07,2014,62,2,291
jape,Ganrer,21,23,28,07,2014,62,4,293
sweet,JoeSwanson,21,23,28,07,2014,63,1,296
innocent,JoeSwanson,21,23,28,07,2014,63,2,297
young,JoeSwanson,21,23,28,07,2014,63,3,298
griff,JoeSwanson,21,23,28,07,2014,63,4,299
believe,JoeSwanson,21,24,28,07,2014,64,3,302
knowledge,JoeSwanson,21,24,28,07,2014,65,5,308
prior,JoeSwanson,21,24,28,07,2014,65,8,311
thought,Ganrer,21,24,28,07,2014,66,2,313
might,Ganrer,21,24,28,07,2014,66,4,315
tygarian,Ganrer,21,24,28,07,2014,66,7,318
guess,Ganrer,21,24,28,07,2014,67,5,323
talked,Ganrer,21,24,28,07,2014,67,8,326
eyes,Ganrer,21,24,28,07,2014,67,11,329
talks,JoeSwanson,21,24,28,07,2014,68,4,333
eyes,JoeSwanson,21,24,28,07,2014,68,7,336
'almost,JoeSwanson,21,24,28,07,2014,68,8,337
looking,JoeSwanson,21,24,28,07,2014,68,9,338
indigo',JoeSwanson,21,24,28,07,2014,68,10,339
yes,JoeSwanson,21,24,28,07,2014,69,1,340
yes,Ganrer,21,24,28,07,2014,70,1,341
hahaha,Ganrer,21,24,28,07,2014,71,1,342
passing,JoeSwanson,21,25,28,07,2014,72,5,347
guess,JoeSwanson,21,25,28,07,2014,72,6,348
think,JoeSwanson,21,25,28,07,2014,72,14,356
much,JoeSwanson,21,25,28,07,2014,72,15,357
happened,JoeSwanson,21,25,28,07,2014,73,3,362
clever,Ganrer,21,25,28,07,2014,74,3,365
they're,JoeSwanson,21,25,28,07,2014,75,2,367
many,JoeSwanson,21,25,28,07,2014,75,5,370
irrelevant,JoeSwanson,21,25,28,07,2014,75,6,371
characters,JoeSwanson,21,25,28,07,2014,75,7,372
know,JoeSwanson,21,25,28,07,2014,75,11,376
relevant,JoeSwanson,21,25,28,07,2014,75,14,379
time,JoeSwanson,21,25,28,07,2014,75,17,382
true,Ganrer,21,25,28,07,2014,76,2,384
tyrion,Ganrer,21,26,28,07,2014,77,1,385
taken,Ganrer,21,26,28,07,2014,77,4,388
mormount,Ganrer,21,26,28,07,2014,77,6,390
reckon,Ganrer,21,26,28,07,2014,77,8,392
happened,JoeSwanson,21,26,28,07,2014,78,2,394
guy,Ganrer,21,26,28,07,2014,79,2,396
said,Ganrer,21,26,28,07,2014,79,3,397
taking,Ganrer,21,26,28,07,2014,79,5,399
queen,Ganrer,21,26,28,07,2014,79,9,403
taken,JoeSwanson,21,26,28,07,2014,80,4,407
brothel,JoeSwanson,21,26,28,07,2014,80,7,410
say,Ganrer,21,26,28,07,2014,81,4,414
queen,Ganrer,21,26,28,07,2014,81,6,416
yeah,Ganrer,21,26,28,07,2014,82,1,417
know,Ganrer,21,26,28,07,2014,82,5,421
good,JoeSwanson,21,26,28,07,2014,83,2,424
observations,JoeSwanson,21,26,28,07,2014,83,3,425
interesting,JoeSwanson,21,26,28,07,2014,83,5,427
idea,JoeSwanson,21,26,28,07,2014,83,6,428
see,JoeSwanson,21,26,28,07,2014,84,3,431
soon,JoeSwanson,21,26,28,07,2014,84,4,432
old,Ganrer,21,27,28,07,2014,85,2,434
griff,Ganrer,21,27,28,07,2014,85,3,435
grey,Ganrer,21,27,28,07,2014,85,6,438
scale,Ganrer,21,27,28,07,2014,85,7,439
notice,JoeSwanson,21,27,28,07,2014,86,3,442
whore,JoeSwanson,21,27,28,07,2014,86,6,445
guy,JoeSwanson,21,27,28,07,2014,86,8,447
looked,JoeSwanson,21,27,28,07,2014,86,11,450
like,JoeSwanson,21,27,28,07,2014,86,12,451
old,JoeSwanson,21,27,28,07,2014,87,5,456
griff,JoeSwanson,21,27,28,07,2014,87,6,457
chapter,JoeSwanson,21,27,28,07,2014,87,7,458
already,JoeSwanson,21,27,28,07,2014,87,8,459
